Project ID,Project Name,Category,Work Type,Total Budget (₹ Cr),GO Number,GO Date,Approval Authority,Sanctioned Amount (₹ Cr),Financial Year,AS File Number,Division,Current Stage,Physical Progress (%),Risk Level,Circle,Village,Mandal,Contractor
ENV-2025-001-C1,"Narsingi Eco Park - Phase A",ENV,PARKS,117.25,G.O.Ms.No.183,2024-04-24,MC,123,2024-25,"HMDA/DEV/CE/II/001/2024-25",II,7,71.1,LOW,C1,Narsingi,Rajendranagar,"Ramky Infrastructure"
SMART-2025-002-C4,"Shamshabad Smart Infrastructure",SMART,INFRASTRUCTURE,472.91,G.O.Ms.No.31,2024-06-08,Govt,497,2024-25,"HMDA/DEV/CE/I/002/2024-25",I,4,45,LOW,C4,Shamshabad,Shamshabad,"AFCONS Infrastructure"
SMART-2025-003-C3,"Patancheru Smart City Infrastructure",SMART,INFRASTRUCTURE,201.52,G.O.Ms.No.140,2024-08-08,Govt,212,2024-25,"HMDA/DEV/CE/II/003/2024-25",II,8,88.2,MEDIUM,C3,Patancheru,Patancheru,"Tata Projects"
ENV-2025-004-C5,"Nizampet Water Body Development",ENV,LAKES,12881.36,G.O.Ms.No.143,2024-04-02,Board,13525,2024-25,"HMDA/DEV/CE/VI/004/2024-25",VI,7,71.4,HIGH,C5,Nizampet,Quthbullapur,"NCC Limited"
SMART-2025-005-C2,"Shamshabad Smart City Infrastructure",SMART,INFRASTRUCTURE,64.21,G.O.Ms.No.37,2024-08-10,Secretary,67,2024-25,"HMDA/DEV/CE/VI/005/2024-25",VI,4,49.1,LOW,C2,Shamshabad,Shamshabad,"Simplex Infrastructures"
INFRA-2025-006-C1,"Road No. 12 Road Improvement Works",INFRA,ROADS,173.50,G.O.Rt.No.840,2023-12-05,MC,182,2023-24,"HMDA/DEV/CE/IV/006/2023-24",IV,3,36.6,LOW,C1,Banjara Hills,Banjara Hills,"L&T Construction"
INFRA-2025-007-C5,"Road No. 36 to Road No. 36 Road Widening",INFRA,ROADS,5303.85,G.O.Rt.No.780,2023-11-11,Board,5569,2023-24,"HMDA/DEV/CE/V/007/2023-24",V,6,60.9,HIGH,C5,Jubilee Hills,Jubilee Hills,"KNR Constructions"
URBAN-2025-008-C3,"Kokapet Community Center",URBAN,BUILDINGS,21073.15,G.O.Rt.No.726,2023-02-18,Board,22127,2022-23,"HMDA/DEV/CE/VI/008/2022-23",VI,9,94.2,HIGH,C3,Kokapet,Rajendranagar,"IRB Infrastructure"
ENV-2025-009-C3,"Nizampet Urban Park Development",ENV,PARKS,4387.66,G.O.Ms.No.129,2024-05-20,Board,4607,2024-25,"HMDA/DEV/CE/VI/009/2024-25",VI,7,74.5,LOW,C3,Nizampet,Quthbullapur,"NCC Limited"
INFRA-2025-010-C1,"Uppal Ring Road Road Improvement Works",INFRA,ROADS,930.74,G.O.Rt.No.987,2024-02-12,Board,977,2023-24,"HMDA/DEV/CE/II/010/2023-24",II,8,87.5,LOW,C1,Uppal,Uppal,"Tata Projects"
INFRA-2025-011-C1,"Hitech City to Hitech City Road Widening",INFRA,ROADS,6649.24,G.O.Rt.No.535,2024-04-28,Board,6982,2024-25,"HMDA/DEV/CE/II/011/2024-25",II,1,6.6,MEDIUM,C1,Madhapur,Serilingampally,"NCC Limited"
INFRA-2025-012-C2,"Road No. 12 Junction Improvement",INFRA,ROADS,19535.79,G.O.Rt.No.701,2024-03-30,Board,20513,2023-24,"HMDA/DEV/CE/IV/012/2023-24",IV,7,70.8,HIGH,C2,Banjara Hills,Banjara Hills,"L&T Construction"
URBAN-2025-013-C5,"Tellapur Layout - Phase 1",URBAN,LAYOUTS,2920.32,G.O.Ms.No.7,2023-08-05,Board,3066,2023-24,"HMDA/DEV/CE/II/013/2023-24",II,2,28.3,LOW,C5,Tellapur,Ramachandrapuram,"IRB Infrastructure"
SMART-2025-014-C3,"Patancheru IoT Network",SMART,INFRASTRUCTURE,177.78,G.O.Ms.No.11,2024-05-04,MC,187,2024-25,"HMDA/DEV/CE/IV/014/2024-25",IV,9,95.4,MEDIUM,C3,Patancheru,Patancheru,"KNR Constructions"
INFRA-2025-015-C3,"RGI Airport Command Center",INFRA,INFRASTRUCTURE,4717.68,G.O.Ms.No.73,2024-05-19,Board,4954,2024-25,"HMDA/DEV/CE/V/015/2024-25",V,6,67.1,MEDIUM,C3,Shamshabad,Shamshabad,"Simplex Infrastructures"
ENV-2025-016-C5,"Nagole Lake Beautification",ENV,LAKES,22609.10,G.O.Ms.No.163,2023-05-01,Board,23740,2023-24,"HMDA/DEV/CE/IV/016/2023-24",IV,1,11.2,HIGH,C5,Nagole,Uppal,"IRB Infrastructure"
SMART-2025-017-C3,"Shamshabad IoT Network",SMART,INFRASTRUCTURE,924.83,G.O.Ms.No.246,2023-07-19,Board,971,2023-24,"HMDA/DEV/CE/I/017/2023-24",I,9,93.6,LOW,C3,Shamshabad,Shamshabad,"KNR Constructions"
SMART-2025-018-C5,"Kompally Smart City Infrastructure",SMART,INFRASTRUCTURE,3246.37,G.O.Ms.No.160,2024-09-21,Board,3409,2024-25,"HMDA/DEV/CE/III/018/2024-25",III,8,85.2,MEDIUM,C5,Kompally,Quthbullapur,"Tata Projects"
ENV-2025-019-C1,"Bhongir Fort Park Beautification",ENV,PARKS,28659.05,G.O.Ms.No.91,2024-09-23,Board,30092,2024-25,"HMDA/DEV/CE/V/019/2024-25",V,7,74,HIGH,C1,Bhongir,Bhongir,"KNR Constructions"
SMART-2025-020-C5,"IIT Campus Digital Hub",SMART,INFRASTRUCTURE,166.18,G.O.Ms.No.85,2023-03-01,MC,174,2022-23,"HMDA/DEV/CE/IV/020/2022-23",IV,9,98.5,HIGH,C5,Kompally,Quthbullapur,"IRB Infrastructure"
SMART-2025-021-C1,"Patancheru Smart Infrastructure",SMART,INFRASTRUCTURE,238.97,G.O.Ms.No.99,2023-04-14,Govt,251,2023-24,"HMDA/DEV/CE/III/021/2023-24",III,6,67.4,MEDIUM,C1,Patancheru,Patancheru,"Simplex Infrastructures"
SMART-2025-022-C3,"RGI Airport Digital Hub",SMART,INFRASTRUCTURE,73.89,G.O.Ms.No.136,2023-04-27,Secretary,78,2023-24,"HMDA/DEV/CE/III/022/2023-24",III,4,43,LOW,C3,Shamshabad,Shamshabad,"Nagarjuna Construction"
INFRA-2025-023-C3,"Kompally IoT Network",INFRA,INFRASTRUCTURE,7362.28,G.O.Ms.No.17,2023-07-08,Board,7730,2023-24,"HMDA/DEV/CE/I/023/2023-24",I,9,93.2,MEDIUM,C3,Kompally,Quthbullapur,"KNR Constructions"
SMART-2025-024-C3,"RGI Airport Digital Hub - Zone B",SMART,INFRASTRUCTURE,1088.40,G.O.Ms.No.204,2024-01-24,Board,1143,2023-24,"HMDA/DEV/CE/III/024/2023-24",III,1,5.4,LOW,C3,Shamshabad,Shamshabad,"L&T Construction"
URBAN-2025-025-C3,"Infrastructure Development at Hakimpet",URBAN,LAYOUTS,3080.41,G.O.Ms.No.101,2024-01-20,Board,3234,2023-24,"HMDA/DEV/CE/IV/025/2023-24",IV,1,11.1,LOW,C3,Hakimpet,Shaikpet,"Tata Projects"
URBAN-2025-026-C2,"Tellapur Layout Development",URBAN,LAYOUTS,7336.70,G.O.Ms.No.232,2024-07-06,Board,7704,2024-25,"HMDA/DEV/CE/II/026/2024-25",II,3,34.8,MEDIUM,C2,Tellapur,Ramachandrapuram,"AFCONS Infrastructure"
URBAN-2025-027-C3,"Kokapet Residential Layout",URBAN,LAYOUTS,151.58,G.O.Ms.No.231,2022-12-19,MC,159,2022-23,"HMDA/DEV/CE/II/027/2022-23",II,2,22.9,LOW,C3,Kokapet,Rajendranagar,"NCC Limited"
INFRA-2025-028-C2,"RGI Airport Command Center - Zone B",INFRA,INFRASTRUCTURE,7842.10,G.O.Ms.No.94,2024-09-23,Board,8234,2024-25,"HMDA/DEV/CE/IV/028/2024-25",IV,6,62.8,HIGH,C2,Shamshabad,Shamshabad,"NCC Limited"
ENV-2025-029-C5,"Bhongir Lake Rejuvenation",ENV,LAKES,2712.90,G.O.Ms.No.88,2024-06-30,Board,2849,2024-25,"HMDA/DEV/CE/III/029/2024-25",III,7,78.4,LOW,C5,Bhongir,Bhongir,"Ramky Infrastructure"
SMART-2025-030-C2,"BHEL Digital Hub",SMART,INFRASTRUCTURE,6472.14,G.O.Ms.No.68,2024-06-18,Board,6796,2024-25,"HMDA/DEV/CE/II/030/2024-25",II,8,82.2,MEDIUM,C2,Patancheru,Patancheru,"NCC Limited"
INFRA-2025-031-C4,"RGI Airport Command Center - Zone C",INFRA,INFRASTRUCTURE,48541.85,G.O.Ms.No.186,2023-11-09,Board,50969,2023-24,"HMDA/DEV/CE/II/031/2023-24",II,4,44.3,HIGH,C4,Shamshabad,Shamshabad,"Simplex Infrastructures"
INFRA-2025-032-C4,"BHEL Command Center",INFRA,INFRASTRUCTURE,15030.99,G.O.Ms.No.217,2023-07-06,Board,15783,2023-24,"HMDA/DEV/CE/VI/032/2023-24",VI,9,90.4,HIGH,C4,Patancheru,Patancheru,"KNR Constructions"
INFRA-2025-033-C5,"Kompally Smart Infrastructure",INFRA,INFRASTRUCTURE,26547.64,G.O.Ms.No.75,2023-05-16,Board,27875,2023-24,"HMDA/DEV/CE/IV/033/2023-24",IV,1,6.4,HIGH,C5,Kompally,Quthbullapur,"AFCONS Infrastructure"
URBAN-2025-034-C4,"Kompally Convention Center",URBAN,BUILDINGS,8988.84,G.O.Rt.No.562,2024-06-16,Board,9438,2024-25,"HMDA/DEV/CE/I/034/2024-25",I,5,59.6,MEDIUM,C4,Kompally,Quthbullapur,"NCC Limited"
URBAN-2025-035-C2,"Kurmalguda Layout Development",URBAN,LAYOUTS,113.81,G.O.Ms.No.21,2023-07-03,MC,120,2023-24,"HMDA/DEV/CE/III/035/2023-24",III,6,69.5,MEDIUM,C2,Kurmalguda,Balapur,"NCC Limited"
URBAN-2025-036-C5,"Infrastructure Development at Kurmalguda",URBAN,LAYOUTS,16251.25,G.O.Ms.No.78,2024-01-26,Board,17064,2023-24,"HMDA/DEV/CE/I/036/2023-24",I,7,71.7,HIGH,C5,Kurmalguda,Balapur,"AFCONS Infrastructure"
URBAN-2025-037-C5,"Lemoor Layout Development",URBAN,LAYOUTS,104.79,G.O.Ms.No.57,2024-01-20,MC,110,2023-24,"HMDA/DEV/CE/II/037/2023-24",II,8,86.6,LOW,C5,Lemoor,Kandukur,"AFCONS Infrastructure"
SMART-2025-038-C3,"IIT Campus Command Center",SMART,INFRASTRUCTURE,6731.53,G.O.Ms.No.98,2024-03-12,Board,7068,2023-24,"HMDA/DEV/CE/II/038/2023-24",II,7,78.2,MEDIUM,C3,Kompally,Quthbullapur,"MEIL"
SMART-2025-039-C3,"Kompally IoT Network - Zone B",SMART,INFRASTRUCTURE,114.33,G.O.Ms.No.173,2023-02-16,MC,120,2022-23,"HMDA/DEV/CE/V/039/2022-23",V,6,68.1,LOW,C3,Kompally,Quthbullapur,"Simplex Infrastructures"
SMART-2025-040-C5,"IIT Campus Digital Hub - Zone B",SMART,INFRASTRUCTURE,20712.09,G.O.Ms.No.23,2023-02-15,Board,21748,2022-23,"HMDA/DEV/CE/II/040/2022-23",II,4,40.8,HIGH,C5,Kompally,Quthbullapur,"Ramky Infrastructure"
SMART-2025-041-C3,"Shamshabad Smart Infrastructure - Zone B",SMART,INFRASTRUCTURE,5089.14,G.O.Ms.No.230,2024-04-17,Board,5344,2024-25,"HMDA/DEV/CE/I/041/2024-25",I,2,22.2,MEDIUM,C3,Shamshabad,Shamshabad,"Ramky Infrastructure"
INFRA-2025-042-C3,"Kompally Smart City Infrastructure - Zone B",INFRA,INFRASTRUCTURE,362.06,G.O.Ms.No.96,2023-11-25,Govt,380,2023-24,"HMDA/DEV/CE/IV/042/2023-24",IV,5,55,LOW,C3,Kompally,Quthbullapur,"NCC Limited"
URBAN-2025-043-C4,"Kompally Skill Development Center",URBAN,BUILDINGS,1215.57,G.O.Rt.No.991,2023-04-11,Board,1276,2023-24,"HMDA/DEV/CE/I/043/2023-24",I,5,59.3,MEDIUM,C4,Kompally,Quthbullapur,"Tata Projects"
URBAN-2025-044-C1,"Tellapur Residential Layout",URBAN,LAYOUTS,21435.96,G.O.Ms.No.196,2023-10-25,Board,22508,2023-24,"HMDA/DEV/CE/IV/044/2023-24",IV,9,90.3,HIGH,C1,Tellapur,Ramachandrapuram,"Ramky Infrastructure"
ENV-2025-045-C1,"Puppalaguda Lake Beautification",ENV,LAKES,36220.44,G.O.Ms.No.66,2024-05-24,Board,38031,2024-25,"HMDA/DEV/CE/V/045/2024-25",V,6,63,HIGH,C1,Puppalaguda,Rajendranagar,"NCC Limited"
SMART-2025-046-C5,"Shamshabad Smart City Infrastructure - Zone B",SMART,INFRASTRUCTURE,190.16,G.O.Ms.No.151,2023-11-12,MC,200,2023-24,"HMDA/DEV/CE/VI/046/2023-24",VI,5,55.7,LOW,C5,Shamshabad,Shamshabad,"Nagarjuna Construction"
ENV-2025-047-C1,"Bhongir Children's Park",ENV,PARKS,7131.51,G.O.Ms.No.218,2024-10-22,Board,7488,2024-25,"HMDA/DEV/CE/IV/047/2024-25",IV,5,53.8,MEDIUM,C1,Bhongir,Bhongir,"L&T Construction"
URBAN-2025-048-C4,"Tellapur Layout - Phase 2",URBAN,LAYOUTS,67.19,G.O.Ms.No.201,2023-11-28,Secretary,71,2023-24,"HMDA/DEV/CE/IV/048/2023-24",IV,3,39.5,LOW,C4,Tellapur,Ramachandrapuram,"Tata Projects"
URBAN-2025-049-C2,"Neopolis Office Complex",URBAN,BUILDINGS,1806.12,G.O.Rt.No.541,2024-02-06,Board,1896,2023-24,"HMDA/DEV/CE/VI/049/2023-24",VI,2,23.3,LOW,C2,Kokapet,Rajendranagar,"MEIL"
URBAN-2025-050-C5,"HMDA Office at Nanakramguda",URBAN,BUILDINGS,156.37,G.O.Rt.No.920,2024-05-24,MC,164,2024-25,"HMDA/DEV/CE/IV/050/2024-25",IV,7,76.9,LOW,C5,Nanakramguda,Serilingampally,"Tata Projects"
INFRA-2025-051-C2,"BHEL Command Center - Zone B",INFRA,INFRASTRUCTURE,34931.29,G.O.Ms.No.167,2024-03-23,Board,36678,2023-24,"HMDA/DEV/CE/II/051/2023-24",II,1,11.3,HIGH,C2,Patancheru,Patancheru,"AFCONS Infrastructure"
ENV-2025-052-C3,"Puppalaguda Tank Restoration",ENV,LAKES,198.04,G.O.Ms.No.54,2023-08-13,MC,208,2023-24,"HMDA/DEV/CE/VI/052/2023-24",VI,1,12.3,LOW,C3,Puppalaguda,Rajendranagar,"Nagarjuna Construction"
ENV-2025-053-C5,"Nizampet Children's Park",ENV,PARKS,44124.86,G.O.Ms.No.112,2024-05-30,Board,46331,2024-25,"HMDA/DEV/CE/VI/053/2024-25",VI,6,62.3,HIGH,C5,Nizampet,Quthbullapur,"Ramky Infrastructure"
SMART-2025-054-C1,"Shamshabad Smart Infrastructure - Zone C",SMART,INFRASTRUCTURE,26736.69,G.O.Ms.No.126,2023-01-20,Board,28074,2022-23,"HMDA/DEV/CE/I/054/2022-23",I,6,66.5,HIGH,C1,Shamshabad,Shamshabad,"KNR Constructions"
URBAN-2025-055-C1,"Lemoor Layout - Phase A",URBAN,LAYOUTS,158.92,G.O.Ms.No.176,2022-12-02,MC,167,2022-23,"HMDA/DEV/CE/III/055/2022-23",III,9,98.7,HIGH,C1,Lemoor,Kandukur,"Nagarjuna Construction"
INFRA-2025-056-C5,"Banjara Hills Ring Road Construction",INFRA,ROADS,1362.53,G.O.Rt.No.938,2023-07-24,Board,1431,2023-24,"HMDA/DEV/CE/IV/056/2023-24",IV,2,27.2,LOW,C5,Banjara Hills,Banjara Hills,"MEIL"
SMART-2025-057-C3,"IIT Campus Command Center - Zone B",SMART,INFRASTRUCTURE,19191.10,G.O.Ms.No.243,2023-05-13,Board,20151,2023-24,"HMDA/DEV/CE/II/057/2023-24",II,8,85.7,HIGH,C3,Kompally,Quthbullapur,"Tata Projects"
SMART-2025-058-C2,"Kompally IoT Network - Zone C",SMART,INFRASTRUCTURE,49852.13,G.O.Ms.No.169,2024-02-15,Board,52345,2023-24,"HMDA/DEV/CE/VI/058/2023-24",VI,4,48.4,HIGH,C2,Kompally,Quthbullapur,"L&T Construction"
ENV-2025-059-C5,"Narsingi Urban Park Development",ENV,PARKS,6243.54,G.O.Ms.No.247,2024-07-23,Board,6556,2024-25,"HMDA/DEV/CE/VI/059/2024-25",VI,3,39.8,MEDIUM,C5,Narsingi,Rajendranagar,"Nagarjuna Construction"
INFRA-2025-060-C4,"Patancheru Smart Infrastructure - Zone B",INFRA,INFRASTRUCTURE,5395.82,G.O.Ms.No.225,2023-07-27,Board,5666,2023-24,"HMDA/DEV/CE/V/060/2023-24",V,1,8.7,MEDIUM,C4,Patancheru,Patancheru,"KNR Constructions"
ENV-2025-061-C5,"Bhongir Tank Restoration",ENV,LAKES,53.84,G.O.Ms.No.191,2024-09-03,Secretary,57,2024-25,"HMDA/DEV/CE/VI/061/2024-25",VI,1,16.5,LOW,C5,Bhongir,Bhongir,"AFCONS Infrastructure"
ENV-2025-062-C3,"Banjara Hills Eco Park - Phase III",ENV,PARKS,42654.25,G.O.Ms.No.39,2023-12-21,Board,44787,2023-24,"HMDA/DEV/CE/VI/062/2023-24",VI,2,22.8,HIGH,C3,Banjara Hills,Banjara Hills,"MEIL"
INFRA-2025-063-C3,"Patancheru Smart Infrastructure - Zone C",INFRA,INFRASTRUCTURE,27176.84,G.O.Ms.No.249,2024-01-20,Board,28536,2023-24,"HMDA/DEV/CE/I/063/2023-24",I,7,70.3,HIGH,C3,Patancheru,Patancheru,"L&T Construction"
ENV-2025-064-C4,"Jubilee Hills Eco Park - Phase II",ENV,PARKS,188.81,G.O.Ms.No.192,2023-10-16,MC,198,2023-24,"HMDA/DEV/CE/IV/064/2023-24",IV,4,40.6,LOW,C4,Jubilee Hills,Jubilee Hills,"AFCONS Infrastructure"
ENV-2025-065-C3,"Narsingi Cross Roads Green Park",ENV,PARKS,22670.66,G.O.Ms.No.237,2023-12-30,Board,23804,2023-24,"HMDA/DEV/CE/III/065/2023-24",III,7,78.8,HIGH,C3,Narsingi,Rajendranagar,"Nagarjuna Construction"
URBAN-2025-066-C3,"Tellapur Township Development",URBAN,LAYOUTS,1000.00,G.O.Ms.No.25,2024-09-14,Board,1050,2024-25,"HMDA/DEV/CE/V/066/2024-25",V,1,19.2,LOW,C3,Tellapur,Ramachandrapuram,"NCC Limited"
INFRA-2025-067-C3,"Shamshabad Smart City Infrastructure - Zone C",INFRA,INFRASTRUCTURE,3975.90,G.O.Ms.No.175,2024-07-02,Board,4175,2024-25,"HMDA/DEV/CE/III/067/2024-25",III,9,94.7,HIGH,C3,Shamshabad,Shamshabad,"NCC Limited"
INFRA-2025-068-C5,"Miyapur Metro Station Junction Improvement",INFRA,ROADS,695.58,G.O.Rt.No.989,2024-07-17,Board,730,2024-25,"HMDA/DEV/CE/I/068/2024-25",I,6,63.1,HIGH,C5,Miyapur,Serilingampally,"Nagarjuna Construction"
URBAN-2025-069-C4,"Thorrur Residential Layout",URBAN,LAYOUTS,257.41,G.O.Ms.No.33,2023-07-01,Govt,270,2023-24,"HMDA/DEV/CE/VI/069/2023-24",VI,1,11.5,LOW,C4,Thorrur,Abdullapurmet,"Tata Projects"
ENV-2025-070-C5,"Ameenpur Tank Restoration",ENV,LAKES,14202.92,G.O.Ms.No.45,2024-02-28,Board,14913,2023-24,"HMDA/DEV/CE/V/070/2023-24",V,3,38.7,HIGH,C5,Ameenpur,Ameenpur,"IRB Infrastructure"
INFRA-2025-071-C3,"Kompally Ring Road Construction",INFRA,ROADS,586.89,G.O.Rt.No.919,2024-03-10,Board,616,2023-24,"HMDA/DEV/CE/V/071/2023-24",V,3,38.7,LOW,C3,Kompally,Quthbullapur,"IRB Infrastructure"
SMART-2025-072-C3,"Shamshabad IoT Network - Zone B",SMART,INFRASTRUCTURE,172.03,G.O.Ms.No.141,2023-10-15,MC,181,2023-24,"HMDA/DEV/CE/IV/072/2023-24",IV,9,91.2,LOW,C3,Shamshabad,Shamshabad,"Tata Projects"
URBAN-2025-073-C4,"Nanakramguda Convention Center",URBAN,BUILDINGS,644.67,G.O.Rt.No.867,2024-02-25,Board,677,2023-24,"HMDA/DEV/CE/IV/073/2023-24",IV,8,87.8,HIGH,C4,Nanakramguda,Serilingampally,"L&T Construction"
SMART-2025-074-C4,"Shamshabad Smart City Infrastructure - Sector 1",SMART,INFRASTRUCTURE,10903.69,G.O.Ms.No.229,2023-04-28,Board,11449,2023-24,"HMDA/DEV/CE/II/074/2023-24",II,5,54.5,HIGH,C4,Shamshabad,Shamshabad,"L&T Construction"
